PALABRA;CALIFICACION
anunciadas;,0000
olvidarlo;1,0000
ingrato;1,0000
colmo;,0000
judicial;,0000
comunicarle;1,0000
discretos;1,0000
atronador;1,0000
deliberando;1,0000
emitir;,0000
opina;,0000
dirigir;,0000
averiada;,0000
deliciosos;1,0000
manipulando;,0000
eliminando;,0000
expectativa;1,0000
impuesta;-1,0000
recauda;,0000
patrullar;1,0000
desplomandose;-1,0000
privilegios;,0000
aplaudido;,0000
sexta;,0000
iniciativas;,0000
temporadas;1,0000
muralla;1,0000
respaldando;,0000
tener;,0000
indirecta;-1,0000
repara;1,0000
arruinaron;-1,0000
superficialidad;-1,0000
revisando;,0000
acercamientos;-1,0000
bella;1,0000
mil;1,0000
establecen;,0000
girar;-1,0000
suscribirse;1,0000
resucita;,0000
inspiradas;1,0000
actuaron;1,0000
estropea;1,0000
desprecio;-1,0000
cautela;,0000
vulnero;-1,0000
mandaran;1,0000
muelles;,0000
encontraban;1,0000
cenizas;1,0000
enajenado;1,0000
americanos;,0000
despotricando;1,0000
quijote;,0000
tragado;-1,0000
extranar;1,0000
gilberto;1,0000
estereotipo;1,0000
testarudez;1,0000
auspicio;1,0000
desinteresada;1,0000
reunamos;1,0000
material;,0000
rayos;,0000
herido;-1,0000
colosales;1,0000
domina;1,0000
aplicarla;1,0000
machacando;1,0000
arrasadas;1,0000
escaso;,0000
disculparme;1,0000
castigue;-1,0000
reprochen;1,0000
cobrarlas;1,0000
fiscalidad;,0000
obligado;-1,0000
mandado;,0000
garganta;-1,0000
arzobispado;1,0000
entrena;1,0000
amigo;1,0000
vigilada;1,0000
ensayando;,0000
mordazas;1,0000
robados;-1,0000
cortaran;1,0000
hechos;,0000
pescadores;,0000
tomarme;,0000
descriptibles;1,0000
comodo;1,0000
procede;1,0000
apoyaron;,0000
prevaricacion;-1,0000
silenciosa;,0000
saben;,0000
dueno;,0000
posibilidad;-1,0000
lucir;,0000
ascender;1,0000
enardecidos;1,0000
lapidacion;,0000
reformista;,0000
apoderados;1,0000
felicesfiestas;1,0000
jodio;,0000
generara;,0000
inconsciente;-1,0000
afe;1,0000
manitas;1,0000
envidiosa;1,0000
revisad;,0000
triste;-1,0000
noble;1,0000
comercio;,0000
secundo;,0000
arrojado;,0000
normales;,0000
exhibido;1,0000
seguros;1,0000
ultimatum;,0000
roban;-1,0000
rosas;,0000
levantaba;1,0000
parea;1,0000
reclamado;,0000
librado;1,0000
endurecidos;1,0000
sople;1,0000
doblan;1,0000
envuelto;1,0000
universal;,0000
ceden;1,0000
hundiremos;-1,0000
contagioso;1,0000
encadeno;1,0000
restablecer;,0000
entendimiento;1,0000
inventamos;,0000
juzgada;-1,0000
legitimar;,0000
enfurecidos;1,0000
gestion;,0000
controladores;,0000
puntual;,0000
figurantes;,0000
entretenida;1,0000
recortado;,0000
agradecido;1,0000
amaa;1,0000
zapato;1,0000
abonar;,0000
desarme;,0000
explicara;,0000
atenuante;1,0000
timos;1,0000
defendieron;1,0000
irrisoria;1,0000
permiso;,0000
indicador;1,0000
juventud;,0000
desplazados;1,0000
representamos;1,0000
desmentir;,0000
asistiremos;1,0000
calma;1,0000
paralelos;,0000
desar;1,0000
preferentes;,0000
izquierdismo;1,0000
confirma;,0000
cobrada;1,0000
gradual;1,0000
movimientos;-1,0000
juntos;,0000
cago;,0000
niego;,0000
individuos;1,0000
indirectamente;1,0000
saler;,0000
televisiva;,0000
plagio;-1,0000
dando;,0000
respirar;,0000
venid;,0000
replantearse;1,0000
subvenciona;,0000
noticiaen;1,0000
problemas;-1,0000
conciliador;1,0000
redentor;1,0000
llevemos;1,0000
autora;,0000
certificados;1,0000
enterarme;,0000
auna;1,0000
colaborad;1,0000
reine;1,0000
exporta;,0000
negase;1,0000
estiloso;1,0000
interpretadas;1,0000
estupendamente;1,0000
comprometiendo;1,0000
marcamos;1,0000
energetico;,0000
coges;,0000
agotadas;1,0000
turismo;,0000
viviente;1,0000
secreta;-1,0000
peligrosa;-1,0000
avala;,0000
erupciones;1,0000
conocer;,0000
soberanistas;1,0000
lauren;1,0000
gaviones;1,0000
peligroso;-1,0000
ayudadas;,0000
supone;,0000
figuraran;1,0000
mueren;-1,0000
irritante;-1,0000
indulte;1,0000
coronel;,0000
manipuladora;1,0000
lucharon;,0000
admisibles;1,0000
toca;,0000
curioso;,0000
enamoro;1,0000
comunes;-1,0000
sensibilidades;,0000
convocamos;1,0000
excluye;-1,0000
firmes;,0000
honorables;1,0000
cobren;,0000
auxilio;,0000
indefinida;,0000
burlon;1,0000
bribon;1,0000
pienses;,0000
miseria;-1,0000
educ;,0000
avenida;1,0000
detectadas;1,0000
asfixiadas;-1,0000
puzzles;1,0000
rehabilitaciones;1,0000
gira;,0000
sacas;,0000
avalados;1,0000
contraria;-1,0000
deportistas;1,0000
distraccion;-1,0000
parto;,0000
simpatias;1,0000
sereno;1,0000
pasaran;,0000
guerra;-1,0000
salto;,0000
reflejo;,0000
posicionar;1,0000
recochineo;1,0000
requiem;,0000
flota;-1,0000
dejamos;,0000
eficientes;1,0000
comentario;,0000
inflaman;1,0000
espacial;,0000
telefonos;,0000
sarcasmo;-1,0000
imito;1,0000
cantidad;,0000
auxiliaron;1,0000
vulnera;-1,0000
oficio;1,0000
senalandose;1,0000
inviolables;1,0000
tranquilizar;1,0000
deficiencia;1,0000
salarial;,0000
evidente;,0000
granito;,0000
felicites;1,0000
valencianas;-1,0000
naranjo;1,0000
guindos;,0000
juridico;-1,0000
combinar;1,0000
morro;-1,0000
completed;1,0000
peculiar;-1,0000
irregulares;-1,0000
vandalicos;-1,0000
adquisiciones;1,0000
colocan;,0000
manifestaba;1,0000
genuina;,0000
comprar;,0000
intervenida;-1,0000
decisivas;1,0000
merito;1,0000
compararla;1,0000
incendiada;1,0000
intervenir;,0000
restas;1,0000
escaparme;,0000
predilecta;1,0000
presentador;1,0000
arroz;,0000
presupuestarias;-1,0000
desliza;,0000
quisieran;1,0000
enfermiza;1,0000
discuta;,0000
salvajes;-1,0000
dominante;1,0000
midan;,0000
demorado;,0000
primeras;,0000
economista;,0000
asisto;1,0000
hablarnos;1,0000
declinante;1,0000
necios;,0000
jamas;,0000
concedidos;1,0000
caldo;1,0000
manifestacion;,0000
doctores;1,0000
farmacos;,0000
forcejeando;1,0000
tajantemente;-1,0000
aplasta;1,0000
milito;,0000
dejarlos;,0000
federacion;,0000
televisivos;1,0000
desapareciera;-1,0000
defensa;,0000
desgraciadamente;-1,0000
dejarles;1,0000
reanudo;1,0000
estigmatizo;1,0000
impulsaron;1,0000
comun;,0000
apuntarse;,0000
mangado;1,0000
charlatanes;1,0000
obstruccionista;1,0000
alcaldia;,0000
ingeniera;1,0000
cuestionado;-1,0000
presentadoras;1,0000
interina;1,0000
caducidad;-1,0000
sub;1,0000
prohibicionista;1,0000
convocaran;1,0000
mirase;1,0000
ayudaron;,0000
echaran;-1,0000
prendas;1,0000
gozo;,0000
serena;,0000
heredando;1,0000
identificadas;1,0000
designa;1,0000
estampas;1,0000
caeran;-1,0000
atrasen;1,0000
llenen;1,0000
construimos;,0000
cientifica;,0000
repase;,0000
moda;,0000
enhorabuena;1,0000
permitida;1,0000
ideologia;,0000
remedio;,0000
solidaro;1,0000
poetica;,0000
gobernantes;,0000
pusimos;,0000
validacion;,0000
ironias;1,0000
propiciada;1,0000
increpan;-1,0000
presagio;1,0000
informara;,0000
cerrar;-1,0000
organicas;1,0000
peques;,0000
concrete;,0000
nacimientos;-1,0000
comercializar;1,0000
votantes;,0000
curado;1,0000
bebida;,0000
filtre;1,0000
responderemos;1,0000
chivado;1,0000
novelista;1,0000
anunciante;1,0000
cuidados;,0000
lecciones;,0000
independentismo;,0000
metropolitano;-1,0000
hereda;,0000
llamaban;-1,0000
anticipos;,0000
terapias;1,0000
patrocinar;1,0000
sarta;1,0000
britanica;,0000
trasladado;,0000
erradicadas;1,0000
exabruptos;-1,0000
salvo;,0000
mate;,0000
destacar;1,0000
debilitara;1,0000
bocas;,0000
editando;1,0000
quita;-1,0000
demora;1,0000
ecuatorianos;1,0000
ensucian;1,0000
limiten;1,0000
cabida;-1,0000
donaremos;1,0000
rasguno;1,0000
seguimiento;-1,0000
laicos;,0000
alias;,0000
piensa;,0000
diciendo;,0000
agregar;,0000
alteza;1,0000
perversiones;,0000
trascendencia;1,0000
candados;1,0000
lamentaras;1,0000
seca;,0000
chillos;1,0000
cenita;1,0000
protestaron;1,0000
cadenas;-1,0000
ved;1,0000
suspendida;,0000
profundidad;,0000
agallas;1,0000
liderar;1,0000
false;1,0000
vanidosa;1,0000
pelearla;1,0000
distancias;,0000
relajarla;1,0000
respondas;1,0000
atravesado;1,0000
espinosa;,0000
ofrenda;,0000
urbanismo;,0000
ruedos;1,0000
ji;,0000
bachar;-1,0000
patriotismo;,0000
sumisos;1,0000
union;,0000
companera;1,0000
piezas;,0000
dames;1,0000
fogata;,0000
enterrador;1,0000
concha;,0000
relajarse;1,0000
palmas;1,0000
jode;,0000
desmonten;1,0000
orgullosas;1,0000
pasta;-1,0000
alarmismo;1,0000
confio;1,0000
mereces;1,0000
admiradores;1,0000
cedido;-1,0000
enteremos;1,0000
neoliberalismo;,0000
extraordinarias;,0000
callados;,0000
carinosos;1,0000
resolviendo;1,0000
asistimos;1,0000
medioambientales;1,0000
arriesgando;1,0000
rancio;-1,0000
pudimos;,0000
demagogico;1,0000
deteriorando;1,0000
cloacas;1,0000
escribiendo;,0000
protocolos;1,0000
podando;1,0000
reanudarse;1,0000
fundamentalismo;,0000
esperandole;,0000
insomnio;-1,0000
aventada;1,0000
mengua;1,0000
lata;,0000
verazmente;1,0000
companero;1,0000
conciertico;1,0000
supuestamente;,0000
escuche;,0000
evitan;,0000
crueles;1,0000
mojo;1,0000
cambia;,0000
perfeccionen;1,0000
lanzarse;-1,0000
bajan;-1,0000
escuchado;,0000
asociamos;1,0000
callarnos;1,0000
juras;1,0000
estigmatiza;1,0000
inmolados;1,0000
derrotas;,0000
tirarle;1,0000
evaluara;,0000
diferenciarse;1,0000
desautorizacion;-1,0000
marginando;1,0000
adversos;-1,0000
aceites;-1,0000
constructores;-1,0000
roca;-1,0000
cola;,0000
discrepancias;-1,0000
trios;1,0000
hab;,0000
enfrentarnos;1,0000
catolico;,0000
nacionalista;,0000
tods;1,0000
deseas;1,0000
esclavizados;1,0000
minucias;,0000
metafora;,0000
conocerse;1,0000
implantara;1,0000
acontecer;1,0000
machacaban;1,0000
concentrados;1,0000
intercambiar;1,0000
populacho;1,0000
reservados;,0000
jurisdiccion;-1,0000
inminente;,0000
adivine;1,0000
fusionarse;-1,0000
agresivas;-1,0000
negacionismo;1,0000
comparte;,0000
devolverle;1,0000
percepciones;1,0000
incomodidad;1,0000
obrera;,0000
ladren;1,0000
relajar;,0000
mismos;,0000
justicia;,0000
pasas;,0000
pasaremos;,0000
casas;,0000
escape;,0000
controvertidas;,0000
aclaras;1,0000
solidario;1,0000
oportunidades;1,0000
argumentos;,0000
intelectuales;,0000
progresos;1,0000
proxima;,0000
culminada;1,0000
judias;1,0000
increiblemente;1,0000
huyo;-1,0000
actor;,0000
magnanimo;1,0000
ventosidad;1,0000
foros;,0000
manifestemos;1,0000
ahogo;1,0000
citaron;,0000
cazo;-1,0000
ready;,0000
comprarlos;1,0000
victoria;1,0000
urgentemente;,0000
zone;,0000
conectarme;1,0000
bailas;1,0000
paradojico;-1,0000
fugando;1,0000
manchado;1,0000
encabezaban;1,0000
hicieras;1,0000
queres;1,0000
regionales;,0000
quedaron;,0000
pedimos;,0000
nombro;,0000
equivoco;,0000
exterminarme;1,0000
cumples;1,0000
quitaban;1,0000
pagas;-1,0000
programada;,0000
prevencion;,0000
contactar;,0000
entren;,0000
extraordinarios;,0000
deslizas;1,0000
erosion;1,0000
discriminan;1,0000
acentos;,0000
vampiros;1,0000
desmentirlo;,0000
colar;-1,0000
enmendar;,0000
cubanos;-1,0000
americana;,0000
aborte;,0000
municipales;,0000
competida;1,0000
empenando;1,0000
generalizada;-1,0000
melon;-1,0000
inhiben;1,0000
cargaba;1,0000
verso;,0000
buscaras;1,0000
hermetico;1,0000
avisos;,0000
usurpado;1,0000
odiosas;1,0000
perseguirlas;1,0000
desayunar;,0000
copiamos;1,0000
bebes;,0000
relacionadas;,0000
arribas;,0000
sentimentalismo;1,0000
compartida;,0000
chanclas;-1,0000
bajadas;-1,0000
delirios;,0000
gang;1,0000
subjetivo;1,0000
herede;,0000
disfrutaras;1,0000
suave;1,0000
hermanas;,0000
dialogue;,0000
recuperarla;1,0000
aprobara;,0000
arruinada;,0000
wine;1,0000
tiran;,0000
captar;,0000
acumula;,0000
gastos;,0000
enganarle;1,0000
apacible;1,0000
definiendo;1,0000
analizamos;,0000
encontro;,0000
reanudaran;1,0000
mitiga;1,0000
permitan;,0000
instale;-1,0000
dibujadas;1,0000
tributo;,0000
tranquilidad;1,0000
entendido;,0000
matar;,0000
experimento;,0000
firmase;1,0000
cubren;,0000
patadas;,0000
presentarlo;,0000
emprenda;1,0000
chantaj;1,0000
comprometer;1,0000
plena;,0000
admitido;1,0000
novedosas;1,0000
recorre;-1,0000
polito;1,0000
pacha;,0000
constituye;,0000
merced;1,0000
beneficien;1,0000
torre;,0000
recurra;-1,0000
atletica;1,0000
opinaban;1,0000
chorros;1,0000
precinto;1,0000
avales;,0000
doblaba;1,0000
cargo;,0000
apasionante;1,0000
malgastado;-1,0000
bondad;1,0000
llamar;,0000
agreden;-1,0000
exculpa;1,0000
dabuten;1,0000
duplicadas;,0000
mierdas;,0000
vibra;1,0000
titulado;,0000
refuerzo;1,0000
olimpicamente;1,0000
felicito;1,0000
sendo;1,0000
felicidades;1,0000
morderse;,0000
picando;-1,0000
solidaria;1,0000
demasiados;,0000
enfado;-1,0000
soportan;,0000
saneara;1,0000
serie;1,0000
fluir;,0000
tiren;1,0000
deseo;1,0000
rozando;1,0000
aseos;1,0000
nuevas;1,0000
burla;,0000
simpatico;1,0000
candidatos;,0000
banado;1,0000
experta;1,0000
marcaron;1,0000
causar;-1,0000
piquemos;1,0000
bond;,0000
anula;-1,0000
demorar;1,0000
atreverse;1,0000
larga;,0000
enemigo;-1,0000
coronas;1,0000
disciplina;,0000
comportado;-1,0000
expres;,0000
chunga;,0000
denaes;,0000
inevitablemente;1,0000
todas;1,0000
esperpentico;-1,0000
canibalismo;1,0000
financiados;1,0000
bos;,0000
utilizados;,0000
quedada;1,0000
reproducciones;1,0000
focas;1,0000
expulsada;1,0000
practicarlos;1,0000
pintor;,0000
fallece;-1,0000
decena;,0000
bate;,0000
levara;1,0000
monopolio;,0000
quedarnos;1,0000
asociacion;,0000
ministeriosa;1,0000
anorando;1,0000
decimales;1,0000
teles;,0000
aparentemente;,0000
reaccionaria;,0000
embajadora;,0000
condicionada;1,0000
subraya;-1,0000
expresaban;1,0000
carrer;1,0000
pierde;-1,0000
juego;,0000
convertir;,0000
cuota;,0000
codazos;1,0000
compartirla;1,0000
pedofilos;1,0000
flipe;1,0000
inadecuados;,0000
avent;1,0000
equilibrada;1,0000
unirnos;1,0000
alboran;,0000
nueve;,0000
escucharnos;1,0000
dinamito;1,0000
grabado;1,0000
restablece;1,0000
explicarlo;,0000
postulacion;1,0000
economica;,0000
burger;1,0000
celebran;1,0000
esquivara;1,0000
fastidiado;1,0000
mitica;1,0000
dispare;-1,0000
caras;,0000
ira;,0000
menospreciadas;1,0000
labor;,0000
creadores;,0000
turon;1,0000
aprendido;1,0000
superado;1,0000
recomponer;1,0000
masacres;1,0000
tornaran;1,0000
fraudes;-1,0000
equitativos;,0000
informacion;,0000
investigue;,0000
privatizada;1,0000
rimas;,0000
bodegas;,0000
disenando;1,0000
quedase;1,0000
visperas;,0000
anoras;1,0000
cargado;,0000
llores;,0000
enterrada;1,0000
pretende;-1,0000
navas;1,0000
teorica;1,0000
incomodos;-1,0000
templada;1,0000
infraccion;1,0000
visitase;1,0000
conectada;1,0000
chiste;,0000
engordar;,0000
rotas;-1,0000
never;,0000
lapsus;,0000
expulsan;,0000
desencantarse;1,0000
recargos;-1,0000
incompatibilidad;-1,0000
impugnando;1,0000
suben;,0000
tirado;,0000
voceros;1,0000
compro;,0000
follon;,0000
denunciarlo;-1,0000
importe;,0000
iglesias;,0000
socialistas;,0000
motores;,0000
esquiroles;1,0000
dedicamos;,0000
miembras;,0000
encajara;1,0000
carroza;,0000
here;,0000
enredar;-1,0000
estallo;-1,0000
universidades;,0000
resucitar;1,0000
seriedad;,0000
advertido;-1,0000
ilustres;1,0000
mermado;1,0000
disfrutar;1,0000
mienten;,0000
vuelva;,0000
evitar;,0000
inteligencia;1,0000
lage;1,0000
invertidos;,0000
republicanas;,0000
auxiliados;1,0000
dudar;,0000
vanidad;-1,0000
senadores;,0000
lesiones;1,0000
avanzadas;1,0000
cortese;1,0000
ocupadas;1,0000
colocaron;1,0000
acuerdo;,0000
dijiste;,0000
frenara;-1,0000
cancha;-1,0000
prisas;,0000
ensalzando;1,0000
consignas;-1,0000
embelesada;1,0000
acostumbrado;1,0000
disputando;,0000
grabacion;,0000
autonomicos;,0000
musico;,0000
acostumbra;1,0000
presumir;,0000
simulaba;1,0000
turner;1,0000
altruista;,0000
entiendan;-1,0000
rebelarse;-1,0000
controlaban;1,0000
afianzo;1,0000
norte;,0000
acepte;,0000
definirse;1,0000
acusaran;1,0000
clara;,0000
medo;1,0000
dilata;,0000
estampa;-1,0000
racionales;1,0000
indultarlos;1,0000
aguado;,0000
visitad;,0000
saltando;,0000
indiscutibles;1,0000
congreso;,0000
regulacion;,0000
dicte;-1,0000
quijotes;1,0000
sincronizar;1,0000
estela;1,0000
descontrol;,0000
buenisima;1,0000
lilos;1,0000
rodeados;,0000
electoralismo;-1,0000
cost;,0000
plagiar;1,0000
secretas;,0000
ganara;1,0000
empalagoso;1,0000
listen;1,0000
manifestar;,0000
pareciese;1,0000
elecciones;,0000
sordera;,0000
destapan;-1,0000
pense;,0000
confabulan;1,0000
mari;,0000
rematarlo;1,0000
nublo;,0000
colombianos;1,0000
besarse;1,0000
manda;,0000
fascinante;,0000
enamorar;1,0000
terremotos;-1,0000
soberanas;1,0000
definitivos;,0000
contaron;-1,0000
senorita;,0000
donando;1,0000
gabinete;,0000
anecdotas;,0000
morena;,0000
imitando;1,0000
subirlos;1,0000
endeudarse;1,0000
globalidad;1,0000
tiroides;-1,0000
queriendo;,0000
obispos;-1,0000
parlamentario;,0000
impostores;-1,0000
sucedieron;,0000
segund;1,0000
copias;1,0000
roto;-1,0000
retirada;,0000
uniformes;1,0000
ingleses;,0000
resumir;-1,0000
derribado;1,0000
sobreactuada;1,0000
disparandose;1,0000
inspirando;1,0000
tutelarnos;1,0000
manipulaciones;,0000
impunes;,0000
plantar;,0000
pierdes;-1,0000
convencion;,0000
kilometros;,0000
entierra;,0000
quincenal;,0000
desvelada;1,0000
estupido;-1,0000
peras;,0000
acoso;-1,0000
triunfar;1,0000
bienen;1,0000
tecnica;,0000
peticiones;,0000
combina;1,0000
prohibieron;1,0000
presagia;1,0000
encargaron;-1,0000
orejas;,0000
adultero;1,0000
misteriosa;,0000
reitero;1,0000
cast;,0000
obstante;1,0000
desatados;1,0000
reunido;,0000
emisoras;,0000
haran;-1,0000
regenera;,0000
acelerador;,0000
marines;1,0000
desarticular;1,0000
negarse;,0000
constante;1,0000
tentador;1,0000
enfrentadas;1,0000
ofreceremos;1,0000
dragones;1,0000
camarada;1,0000
noticieros;1,0000
cunados;1,0000
preferimos;1,0000
sigamos;,0000
potentes;,0000
antojado;1,0000
comportar;1,0000
presencia;,0000
diarias;1,0000
distraeremos;1,0000
eternidad;,0000
aplazarlo;1,0000
page;-1,0000
aceptada;1,0000
calos;1,0000
venga;,0000
psicosis;1,0000
cartujo;1,0000
dignidad;1,0000
heridas;-1,0000
acepto;,0000
posteriores;1,0000
burda;1,0000
amnesia;,0000
taxistas;,0000
posta;,0000
autocrata;1,0000
inspeccionara;1,0000
predominante;1,0000
crimen;-1,0000
vigilados;1,0000
declararse;,0000
asesinando;1,0000
hacerme;,0000
bajara;,0000
plantearnos;1,0000
dedicase;1,0000
decepcionada;1,0000
patrocinador;,0000
bastaba;,0000
paper;,0000
aceite;,0000
emplea;-1,0000
homenajeado;1,0000
magistrados;,0000
acuerdos;,0000
despedirnos;1,0000
sostenidos;1,0000
goles;,0000
pajara;1,0000
lag;,0000
comersela;1,0000
role;1,0000
inmola;1,0000
doce;,0000
expolio;-1,0000
impolutos;1,0000
invitados;,0000
ingrese;1,0000
mediterraneo;,0000
archivada;,0000
novedad;,0000
reprimirme;,0000
peca;1,0000
lago;,0000
revelando;1,0000
dibujos;,0000
genero;,0000
sacaba;,0000
cargada;,0000
destacado;1,0000
orientar;1,0000
medico;,0000
residencias;,0000
festiva;1,0000
corto;,0000
anecdotico;-1,0000
cooperar;1,0000
creadas;,0000
pagarles;-1,0000
acompanas;1,0000
reitera;,0000
plagia;1,0000
expiatorio;1,0000
avalar;1,0000
creada;1,0000
despache;1,0000
pronuncio;,0000
formatos;1,0000
paralela;1,0000
conseguimos;1,0000
tod;1,0000
ingredientes;1,0000
alquila;,0000
discrepancia;-1,0000
ordinario;,0000
pilotaba;1,0000
localizarles;1,0000
completos;,0000
metal;-1,0000
abonarse;1,0000
hispanico;1,0000
hermosas;1,0000
oportunista;,0000
funde;1,0000
aeropuertos;-1,0000
obreros;-1,0000
linchen;1,0000
ordenadores;,0000
lunes;,0000
pipi;1,0000
mayorias;,0000
chillar;,0000
acordamos;1,0000
egipcia;,0000
repeticiones;1,0000
admite;,0000
asome;1,0000
vertidos;-1,0000
instalaron;1,0000
sano;1,0000
division;-1,0000
engancha;,0000
desacreditados;1,0000
ausento;1,0000
aprender;,0000
indignidad;-1,0000
mezclo;1,0000
gestiono;,0000
desaparecen;,0000
gobernado;,0000
navarro;,0000
anecdota;,0000
pajarraco;1,0000
enorme;1,0000
afluencia;1,0000
falseado;,0000
villano;-1,0000
curan;,0000
indefensa;1,0000
manta;,0000
embarazo;,0000
comunicar;,0000
juntado;1,0000
hierba;1,0000
levantada;1,0000
agrarios;,0000
cuera;,0000
apelaciones;1,0000
moderan;1,0000
estiramientos;1,0000
someta;-1,0000
pronuncia;,0000
solidariamente;1,0000
perspectivas;-1,0000
sonido;1,0000
pesimista;-1,0000
comprometimos;1,0000
aceptacion;1,0000
autopistas;-1,0000
huya;-1,0000
concertadas;,0000
localizacion;-1,0000
sorprendernos;1,0000
agresor;1,0000
duelan;1,0000
desventaja;1,0000
atracadores;1,0000
agresores;,0000
puntos;,0000
pagado;-1,0000
preservar;,0000
destacada;1,0000
seguirnos;,0000
pronto;1,0000
poner;,0000
carta;,0000
reclamados;1,0000
gratas;,0000
decrecimiento;,0000
ejecutaron;1,0000
supo;,0000
comunicados;,0000
cueros;1,0000
propensos;1,0000
hablaban;,0000
esforzado;,0000
marginal;,0000
sospechan;1,0000
irrelevante;-1,0000
recortamos;,0000
derrochaba;1,0000
conveniencia;,0000
perdonados;1,0000
perdimos;,0000
cine;,0000
buscar;,0000
reparte;,0000
criticamos;1,0000
hablando;,0000
inminentes;1,0000
hombros;,0000
editoriales;,0000
nietos;,0000
soneto;1,0000
inundara;1,0000
genialidades;1,0000
arriesgarse;-1,0000
preferible;1,0000
anunciarles;,0000
contribuyen;1,0000
vea;,0000
imperativos;1,0000
literario;,0000
malpensados;1,0000
conexion;,0000
obligatorias;-1,0000
inviolable;1,0000
requieren;1,0000
veneno;-1,0000
complicar;-1,0000
vuelta;,0000
concluye;,0000
despiertos;,0000
nepotismo;-1,0000
fichado;,0000
traicionando;1,0000
forran;,0000
muertos;-1,0000
figura;,0000
bano;,0000
portales;1,0000
columnas;,0000
colocamos;-1,0000
asfixiante;1,0000
informado;,0000
bastida;1,0000
hazmerreir;1,0000
aplaudiendo;1,0000
gordos;1,0000
pensada;,0000
cantamos;,0000
adulto;1,0000
implementar;,0000
inventara;1,0000
coordinar;,0000
expresivo;1,0000
raciones;1,0000
remoto;1,0000
cleptomania;1,0000
operador;1,0000
atrapadas;1,0000
porteras;1,0000
gloria;,0000
laminarlos;1,0000
vilmente;,0000
retro;,0000
sostenerla;1,0000
acogerse;1,0000
macho;,0000
construyen;,0000
chance;1,0000
conservadora;,0000
vano;,0000
probaran;1,0000
escuchamos;,0000
hurtado;,0000
imposibilitado;1,0000
necesites;1,0000
acceder;,0000
ocasionales;1,0000
conectividad;1,0000
considerable;1,0000
indeterminado;1,0000
reportad;1,0000
ordenes;,0000
enfrentado;-1,0000
conocimientos;,0000
escandalizan;-1,0000
interes;,0000
envejecido;1,0000
lejos;,0000
entender;,0000
valoro;1,0000
gestionen;,0000
reportera;,0000
anhelos;1,0000
cooperantes;,0000
libere;,0000
ocupado;,0000
salieron;,0000
cretinos;-1,0000
primaria;,0000
canario;,0000
desvelado;1,0000
decirme;,0000
retirar;-1,0000
filtrase;1,0000
difundirlo;,0000
tanatorios;-1,0000
tratos;,0000
cuchillo;-1,0000
mayas;,0000
gata;1,0000
declina;,0000
avergonzados;1,0000
habitable;,0000
practicas;,0000
admiradas;1,0000
adelanten;1,0000
volvi;,0000
calculamos;1,0000
sedados;1,0000
pringar;1,0000
exenciones;,0000
sospechoso;-1,0000
caderas;1,0000
frialdad;1,0000
separatismo;,0000
otorgara;1,0000
recupera;,0000
didactico;1,0000
castillas;1,0000
aprobo;1,0000
reconciliacion;,0000
dormirse;,0000
expediente;,0000
recortaron;1,0000
crean;,0000
explicacion;,0000
indemnizar;,0000
lesbianas;,0000
ajustar;,0000
hallados;,0000
provocacion;,0000
rozar;-1,0000
citadas;-1,0000
medido;1,0000
pitado;-1,0000
onde;1,0000
tarde;,0000
cervezas;,0000
cinta;,0000
hundirlo;1,0000
homosexual;,0000
activa;,0000
quebrar;-1,0000
mosca;,0000
testa;1,0000
saturados;1,0000
desacreditar;1,0000
transiciones;,0000
conmocionada;1,0000
electoral;-1,0000
privatizaran;1,0000
mentando;1,0000
colaborando;1,0000
endogamias;1,0000
foto;,0000
halla;-1,0000
romper;-1,0000
belicosa;1,0000
ansiosamente;1,0000
regala;1,0000
holgado;,0000
sectas;1,0000
caidos;,0000
destrozada;1,0000
barreras;,0000
mencionase;1,0000
fete;1,0000
fracasa;-1,0000
integrarse;1,0000
traicionan;1,0000
protagonizo;1,0000
rico;1,0000
merecemos;,0000
realistas;,0000
bomber;1,0000
colmada;1,0000
inundacion;1,0000
considero;1,0000
cohechos;1,0000
convocara;-1,0000
visite;,0000
electronico;,0000
podria;,0000
compararan;1,0000
fulminado;1,0000
frutales;1,0000
inyectar;1,0000
selva;,0000
debaten;,0000
dedicadas;1,0000
fanatico;1,0000
infinita;-1,0000
frescas;1,0000
opino;-1,0000
escribo;,0000
reformandola;1,0000
comentamos;,0000
recosido;1,0000
impresionando;1,0000
sento;1,0000
torno;,0000
gasolino;,0000
melenas;1,0000
soporte;1,0000
encarna;1,0000
vejan;1,0000
funcionan;,0000
utiliza;,0000
flexibilidad;,0000
posibles;,0000
empujada;1,0000
publicacion;,0000
roda;1,0000
recuerde;1,0000
aprieten;1,0000
creible;,0000
libera;1,0000
estetica;1,0000
febril;1,0000
llegara;,0000
dimensiones;,0000
presid;,0000
quebrado;-1,0000
encuesta;,0000
repetid;1,0000
cerebros;,0000
ancianos;-1,0000
colombiano;-1,0000
logro;,0000
viaje;,0000
europe;,0000
tocino;,0000
futbolista;,0000
desacreditan;1,0000
instalacion;,0000
secundando;1,0000
basura;-1,0000
topo;1,0000
telescopio;1,0000
recibidos;1,0000
prolongara;,0000
pactaba;1,0000
ostente;1,0000
john;,0000
ciudadanos;,0000
financien;1,0000
intensidad;,0000
best;1,0000
posturas;-1,0000
pensamiento;,0000
primas;,0000
recibieron;,0000
interactiva;1,0000
